Subcell_ID,Longitude,Latitude
406,72.64063,23.04688
407,72.66146,23.04688
408,72.67188,23.04688
409,72.68229,23.04688
410,72.48438,23.05729
411,72.57813,23.05729
412,72.60938,23.05729
413,72.64063,23.05729
414,72.67188,23.05729
415,72.44271,23.05729
416,72.46354,23.05729
417,72.47396,23.05729
418,72.50521,23.05729
419,72.55729,23.05729
420,72.58854,23.05729
421,72.59896,23.05729
422,72.65104,23.05729
423,72.66146,23.05729
424,72.44271,23.06771
425,72.47396,23.06771
426,72.49479,23.06771
427,72.50521,23.06771
428,72.51563,23.06771
429,72.52604,23.06771
430,72.53646,23.06771
431,72.54688,23.06771
432,72.55729,23.06771
433,72.56771,23.06771
434,72.57813,23.06771
435,72.60938,23.06771
436,72.61979,23.06771
437,72.65104,23.06771
438,72.69271,23.06771
439,72.71354,23.06771
440,72.44271,23.07813
441,72.45313,23.07813
442,72.46354,23.07813
443,72.47396,23.07813
444,72.49479,23.07813
445,72.51563,23.07813
446,72.52604,23.07813
447,72.53646,23.07813
448,72.54688,23.07813
449,72.56771,23.07813
450,72.57813,23.07813
451,72.58854,23.07813
452,72.59896,23.07813
453,72.63021,23.07813
454,72.64063,23.07813
455,72.65104,23.07813
456,72.66146,23.07813
457,72.67188,23.07813
458,72.68229,23.07813
459,72.69271,23.07813
460,72.70313,23.07813
461,72.71354,23.07813
462,72.45313,23.08854
463,72.48438,23.08854
464,72.51563,23.08854
465,72.60938,23.08854
466,72.67188,23.08854
467,72.46354,23.08854
468,72.49479,23.08854
469,72.55729,23.08854
470,72.56771,23.08854
471,72.59896,23.08854
472,72.61979,23.08854
473,72.63021,23.08854
474,72.65104,23.08854
475,72.66146,23.08854
476,72.68229,23.08854
477,72.71354,23.08854
478,72.47396,23.09896
479,72.48438,23.09896
480,72.49479,23.09896
481,72.50521,23.09896
482,72.51563,23.09896
483,72.52604,23.09896
484,72.54688,23.09896
485,72.55729,23.09896
486,72.56771,23.09896
487,72.58854,23.09896
488,72.59896,23.09896
489,72.60938,23.09896
490,72.61979,23.09896
491,72.63021,23.09896
492,72.64063,23.09896
493,72.65104,23.09896
494,72.66146,23.09896
495,72.67188,23.09896
496,72.70313,23.09896
497,72.71354,23.09896
498,72.48438,23.10938
499,72.49479,23.10938
500,72.50521,23.10938
501,72.51563,23.10938
502,72.55729,23.10938
503,72.56771,23.10938
504,72.57813,23.10938
505,72.60938,23.10938
506,72.64063,23.10938
507,72.65104,23.10938
508,72.66146,23.10938
509,72.67188,23.10938
510,72.71354,23.10938
511,72.54688,23.11979
512,72.57813,23.11979
513,72.60938,23.11979
514,72.67188,23.11979
515,72.70313,23.11979
516,72.47396,23.11979
517,72.50521,23.11979
518,72.53646,23.11979
519,72.55729,23.11979
520,72.58854,23.11979
521,72.59896,23.11979
522,72.63021,23.11979
523,72.66146,23.11979
524,72.69271,23.11979
525,72.71354,23.11979
526,72.51563,23.13021
527,72.57813,23.13021
528,72.53646,23.13021
529,72.55729,23.13021
530,72.56771,23.13021
531,72.59896,23.13021
532,72.61979,23.13021
533,72.50521,23.14063
534,72.51563,23.14063
535,72.52604,23.14063
536,72.53646,23.14063
537,72.54688,23.14063
538,72.55729,23.14063
539,72.57813,23.14063
540,72.58854,23.14063
541,72.61979,23.14063
542,72.51563,23.15104
543,72.52604,23.15104
544,72.53646,23.15104
545,72.57813,23.15104
546,72.58854,23.15104
547,72.59896,23.15104
548,72.60938,23.15104
549,72.61979,23.15104
