Subcell_ID,Longitude,Latitude,Area
360,72.47396,23.02604,Sanand Taluka
361,72.48438,23.02604,Ghatlodiya Taluka
362,72.50521,23.02604,Vejalpur Taluka
363,72.51563,23.02604,Vejalpur Taluka
364,72.53646,23.02604,Vejalpur Taluka
365,72.55729,23.02604,SabarmatiTaluka
366,72.56771,23.02604,SabarmatiTaluka
367,72.58854,23.02604,Unknown Area
368,72.59896,23.02604,Maninagar Taluka
369,72.61979,23.02604,Maninagar Taluka
370,72.63021,23.02604,Maninagar Taluka
371,72.64063,23.02604,Maninagar Taluka
372,72.67188,23.02604,Vatva Taluka
373,72.68229,23.02604,Asarva Taluka
374,72.69271,23.02604,Daskroi Taluka
375,72.71354,23.02604,Daskroi Taluka
376,72.45313,23.03646,Sanand Taluka
377,72.48438,23.03646,Ghatlodiya Taluka
378,72.51563,23.03646,Ghatlodiya Taluka
379,72.54688,23.03646,Vejalpur Taluka
380,72.60938,23.03646,Asarva Taluka
381,72.64063,23.03646,Maninagar Taluka
382,72.67188,23.03646,Asarva Taluka
383,72.44271,23.03646,Sanand Taluka
384,72.47396,23.03646,Sanand Taluka
385,72.49479,23.03646,Ghatlodiya Taluka
386,72.50521,23.03646,Ghatlodiya Taluka
387,72.52604,23.03646,Vejalpur Taluka
388,72.53646,23.03646,Vejalpur Taluka
389,72.55729,23.03646,SabarmatiTaluka
390,72.56771,23.03646,SabarmatiTaluka
391,72.58854,23.03646,Unknown Area
392,72.65104,23.03646,Asarva Taluka
393,72.44271,23.04688,Kalol Taluka
394,72.45313,23.04688,Ghatlodiya Taluka
395,72.47396,23.04688,Ghatlodiya Taluka
396,72.50521,23.04688,Ghatlodiya Taluka
397,72.51563,23.04688,Ghatlodiya Taluka
398,72.53646,23.04688,Ghatlodiya Taluka
399,72.54688,23.04688,Ghatlodiya Taluka
400,72.56771,23.04688,SabarmatiTaluka
401,72.57813,23.04688,Asarva Taluka
402,72.59896,23.04688,Asarva Taluka
403,72.60938,23.04688,Asarva Taluka
404,72.61979,23.04688,Asarva Taluka
405,72.63021,23.04688,Asarva Taluka
406,72.64063,23.04688,Asarva Taluka
407,72.66146,23.04688,Asarva Taluka
408,72.67188,23.04688,Asarva Taluka
409,72.68229,23.04688,Daskroi Taluka
410,72.48438,23.05729,Ghatlodiya Taluka
411,72.57813,23.05729,SabarmatiTaluka
412,72.60938,23.05729,Asarva Taluka
413,72.64063,23.05729,Asarva Taluka
414,72.67188,23.05729,Asarva Taluka
415,72.44271,23.05729,Kalol Taluka
416,72.46354,23.05729,Ghatlodiya Taluka
417,72.47396,23.05729,Ghatlodiya Taluka
418,72.50521,23.05729,Ghatlodiya Taluka
419,72.55729,23.05729,SabarmatiTaluka
420,72.58854,23.05729,Asarva Taluka
421,72.59896,23.05729,Asarva Taluka
422,72.65104,23.05729,Asarva Taluka
423,72.66146,23.05729,Asarva Taluka
424,72.44271,23.06771,Kalol Taluka
425,72.47396,23.06771,Ghatlodiya Taluka
426,72.49479,23.06771,Ghatlodiya Taluka
427,72.50521,23.06771,Ghatlodiya Taluka
428,72.51563,23.06771,Ghatlodiya Taluka
